municipio;población_2010;superficie_(km);densidad_hab/km;población_2022;superficie_(km)2;densidad_hab/km2;%_pobl_urb_1991;%_pobl_urb_2001;%_pobl_urb_2010;%_pobl_urb_2022
25 de Mayo;35842;4769,45;7,5;35563;4769,45;7,5;70,1;76,3;77,9;82
9 de Julio;47722;4284,05;11,1;52607;4284,05;12,3;74,7;80,2;82,1;86
Adolfo Alsina;17072;5877,86;2,9;17552;5877,86;3;64,1;71,4;75,4;74,7
Adolfo Gonzales Chaves;12047;3859,16;3,1;12914;3859,16;3,3;68,6;71,6;75,3;76,2
Alberti;10654;1124,98;9,5;12982;1124,98;11,5;70,2;72,2;77,5;71,7
Almirante Brown;552902;129,33;4275,1;584827;129,33;4523;99,6;99,8;99,9;100
Arrecifes;29044;1240,67;23,4;32215;1240,67;26;85,4;89,2;90,9;94,8
Avellaneda;342677;52,48;6529,7;367554;52,48;7001;100;100;100;100
Ayacucho;20337;6748,9;3;21977;6748,9;3,3;75,9;83,6;85,4;86,9
Azul;65280;6540,25;10;75905;6540,25;11,6;88,2;94,2;94,6;96,1
Bahía Blanca;301572;2247,49;134,2;336574;2247,49;149,8;98,5;99,4;99,5;99,7
Balcarce;43823;4115,27;10,6;48982;4115,27;11,9;77,2;83,6;87,6;91,5
Baradero;32761;1591,87;20,6;40002;1591,87;25,1;83,1;84,2;87,1;90,2
Benito Juárez;20239;5071,94;4;22292;5071,94;4,4;77,2;81,7;83,8;89,7
Berazategui;324244;221,01;1467,1;358712;221,01;1623,1;99,7;99,6;100;100
Berisso;88470;137,59;643;100930;137,59;733,5;97,7;98,6;99,1;99,3
Bolívar;34190;4912,16;7;37594;4912,16;7,7;79,5;82;84,5;85
Bragado;41336;2211,87;18,7;46504;2211,87;21;86,7;87,2;86,4;90,4
Brandsen;26367;1126,02;23,4;32448;1126,02;28,8;70,3;83,8;84,9;84,3
Campana;94461;954,54;99;110566;954,54;115,8;95,5;95,8;94,1;96,5
Cañuelas;51892;1190,11;43,6;70684;1190,11;59,4;69,6;85,9;87,4;91,5
Capitán Sarmiento;14494;548,89;26,4;15965;548,89;29,1;84,6;88;90,3;93,7
Carlos Casares;22237;2520,39;8,8;23100;2520,39;9,2;75,5;81,2;82,5;84,7
Carlos Tejedor;11570;3910,74;3;14079;3910,74;3,6;62,3;70,4;72,4;76,2
Carmen de Areco;14692;1061,31;13,8;17499;1061,31;16,5;76,2;85,8;87;91,7
Castelli;8205;2063,19;4;9594;2063,19;4,7;73,7;81,5;83,6;83,1
Chacabuco;48703;2287,38;21,3;52731;2287,38;23,1;75,1;81,7;83,2;88,6
Chascomús;42277;4163,19;10,2;42452;3127,8;13,6;82,5;90;90,5;94,7
Chivilcoy;64185;2057,09;31,2;70839;2057,09;34,4;82,9;90,8;93,9;96,4
Colón;24890;994,57;25;27504;994,57;27,7;84,4;92,3;93,2;95,1
Coronel de Marina Leonardo Rosales;62152;5831,5;10,7;67503;1622,6;41,6;76,4;70,5;72,7;97,6
Coronel Dorrego;15825;1622,6;9,8;15968;5831,5;2,7;94,8;94,1;93,8;75
Coronel Pringles;22933;5257,14;4,4;24420;5257,14;4,6;79,9;86,6;88,4;89,4
Coronel Suárez;38320;6006,83;6,4;42110;6006,83;7;77,8;80,5;80,6;89,7
Daireaux;16889;3827,47;4,4;18422;3827,47;4,8;66,9;68,9;71,8;88,8
Dolores;27042;1973,14;13,7;32032;1973,14;16,2;90,8;95,7;95,9;96,7
Ensenada;56729;99,93;567,7;63997;99,93;640,6;99,5;99,8;99,5;100
Escobar;213619;303,75;703,3;256268;303,75;843,5;94,9;97,2;99,3;99,5
Esteban Echeverría;300959;120,22;2503,4;338480;120,22;2816;99,3;99,7;99,9;100
Exaltación de la Cruz;29805;634,17;47;40159;634,17;63,3;56,8;75,1;82;92,4
Ezeiza;163722;236,81;691,4;201511;236,81;851;///;99,4;99,2;100
Florencio Varela;426005;189,9;2243,3;496433;189,9;2614,2;97,9;97,9;100;100
Florentino Ameghino;8869;1808,55;4,9;10790;1808,55;6;69,1;76,1;81,5;84,6
General Alvarado;39594;1614,35;24,5;45526;1614,35;28,2;82,9;88,1;91,1;91,3
General Alvear;11130;3384,08;3,3;13031;3384,08;3,9;78,5;87,6;88,2;90,7
General Arenales;14903;1482,64;10,1;16350;1482,64;11;67,9;73,1;90;94,4
General Belgrano;17365;1843,21;9,4;20791;1843,21;11,3;83,5;87,9;88,6;92,2
General Guido;2816;2329,91;1,2;3174;2329,91;1,4;-;-;-;0
General Juan Madariaga;19747;2978,29;6,6;22624;2978,37;7,6;87;91,7;91,6;95,1
General La Madrid;10783;4811,37;2,2;11618;4811,37;2,4;65,3;72,1;74,9;81,5
General Las Heras;14889;720,1;20,7;18022;720,1;25;71,1;76,1;76,1;78,7
General Lavalle;3700;2598,73;1,4;4870;2598,73;1,9;-;5,3;-;50,5
General Paz;11202;1197,46;9,4;14207;1197,46;11,9;66,3;71,1;70,7;75,5
General Pinto;11261;2541,44;4,4;12941;2541,44;5,1;49,2;55,3;58,2;62,3
General Pueyrredón;618989;1460,74;423,8;667082;1460,74;456,7;97,4;97,8;98,9;99,2
General Rodríguez;87185;360,14;242,1;142709;360,14;396,3;86,6;93,2;97,9;99,1
General San Martín;414196;55,75;7429,5;450575;55,75;8074,8;100;100;100;100
General Viamonte;18078;2145,28;8,4;22649;2145,28;10,6;68,7;76,3;80,2;91,4
General Villegas;30864;7232,8;4,3;35251;7232,8;4,9;47,6;56,2;66,2;78,8
Guaminí;11826;4826,84;2,5;11801;4826,84;2,4;55,1;60,5;61,7;67,6
Hipólito Yrigoyen;9585;1629,01;5,9;10661;1629,01;6,5;86,2;89,1;90,2;92,4
Hurlingham;181241;35,43;5115,5;185641;35,43;5244,1;100;100;100;100
Ituzaingó;167824;38,24;4388,7;180232;38,24;4718,1;100;100;100;100
José C. Paz;265981;50,16;5302,7;326992;50,16;6513,8;100;100;100;100
Junín;90305;2253,2;40,1;103787;2253,2;46,1;89;93;96,9;94,5
